iter	Passed	Remaining
0	18	18959
1	52	26411
2	70	23363
3	88	22144
4	106	21248
5	120	20041
6	134	19140
7	148	18423
8	161	17747
9	172	17091
10	186	16755
11	198	16333
12	209	15915
13	221	15580
14	233	15343
15	245	15115
16	256	14843
17	269	14677
18	283	14632
19	295	14455
20	305	14264
21	318	14145
22	330	14043
23	342	13931
24	354	13806
25	367	13757
26	380	13728
27	394	13690
28	405	13568
29	417	13489
30	429	13417
31	439	13308
32	452	13254
33	464	13205
34	477	13156
35	488	13068
36	500	13019
37	514	13025
38	528	13019
39	538	12935
40	551	12892
41	563	12855
42	576	12821
43	588	12780
44	600	12739
45	612	12699
46	623	12647
47	635	12605
48	647	12571
49	659	12535
50	670	12480
51	682	12447
52	694	12411
53	706	12368
54	717	12330
55	729	12302
56	742	12277
57	752	12225
58	765	12202
59	778	12189
60	790	12163
61	801	12119
62	813	12099
63	825	12075
64	836	12037
65	848	12008
66	860	11988
67	872	11962
68	884	11929
69	896	11907
70	910	11909
71	924	11921
72	937	11902
73	950	11900
74	967	11928
75	984	11966
76	998	11971
77	1014	11987
78	1029	12000
79	1047	12042
80	1068	12125
81	1088	12184
82	1104	12203
83	1120	12223
84	1139	12269
85	1156	12293
86	1170	12287
87	1188	12313
88	1206	12346
89	1220	12344
90	1234	12335
91	1248	12320
92	1262	12311
93	1277	12309
94	1291	12306
95	1305	12294
96	1319	12285
97	1333	12270
98	1346	12257
99	1362	12264
100	1377	12259
101	1391	12249
102	1405	12242
103	1420	12236
104	1434	12223
105	1446	12200
106	1460	12187
107	1474	12180
108	1488	12167
109	1502	12158
110	1517	12150
111	1530	12134
112	1545	12129
113	1560	12124
114	1574	12118
115	1587	12094
116	1599	12068
117	1609	12033
118	1623	12017
119	1635	11995
120	1647	11970
121	1658	11938
122	1671	11916
123	1683	11895
124	1695	11868
125	1707	11845
126	1719	11820
127	1732	11801
128	1742	11768
129	1755	11745
130	1767	11724
131	1779	11698
132	1790	11671
133	1802	11648
134	1814	11627
135	1825	11597
136	1837	11574
137	1849	11553
138	1861	11530
139	1873	11506
140	1885	11484
141	1898	11468
142	1912	11462
143	1923	11435
144	1936	11420
145	1949	11403
146	1961	11380
147	1972	11352
148	1984	11332
149	1996	11315
150	2007	11288
151	2019	11267
152	2031	11247
153	2043	11226
154	2054	11200
155	2066	11182
156	2081	11173
157	2093	11154
158	2104	11131
159	2116	11113
160	2129	11096
161	2139	11068
162	2152	11051
